choice,max_possible,points,reaction_time,subject,total_points,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
13,7585,66,0.28163130245138746,102,5670,57,49,83,40,56,65,40,44,33,85,40,44,40,66,43,53,69,50,60,54,35,51,30,76,49,33
13,7671,68,0.094181545408901,102,5738,64,49,72,41,66,58,52,52,31,86,28,44,49,68,39,45,61,57,54,64,49,57,22,58,47,42
11,7757,44,0.23796665147619933,102,5782,55,50,78,42,57,58,47,54,35,86,31,44,43,52,45,53,56,61,63,59,40,56,39,63,45,39
13,7841,63,0.817977762530063,102,5845,50,50,84,39,66,56,45,56,38,80,35,40,49,63,33,61,67,53,68,57,34,54,28,57,51,44
13,7926,72,0.16301695843867492,102,5917,51,46,80,45,56,57,37,47,43,85,29,36,45,72,41,54,66,45,66,64,41,59,33,55,45,37
13,8004,73,0.19571520371118822,102,5990,55,53,67,46,61,53,41,52,52,78,24,47,42,73,42,53,55,46,56,56,33,53,41,63,35,35
13,8083,74,0.22668598727068456,102,6064,53,62,79,44,55,53,43,50,46,73,33,40,48,74,51,61,52,49,52,55,28,52,40,59,40,34
13,8161,71,0.2927167551624734,102,6135,56,60,77,38,53,47,37,53,49,78,31,34,41,71,59,61,49,47,56,56,37,52,39,59,46,34
13,8234,69,0.32915794081873173,102,6204,50,52,72,44,55,44,42,46,50,73,35,47,30,69,59,62,55,48,51,50,35,51,36,67,48,25
13,8314,70,0.30584968843049865,102,6274,50,59,80,34,56,56,41,55,56,77,24,39,39,70,59,62,59,40,48,50,34,56,42,63,36,32
13,8395,67,0.8143794706638801,102,6341,53,54,81,46,54,54,42,59,51,69,27,45,41,67,54,56,51,46,47,54,23,52,40,68,37,31
13,8475,60,0.41098611886263825,102,6401,41,65,80,36,57,51,44,54,48,64,25,41,38,60,55,59,58,52,36,49,26,63,34,58,39,32
13,8550,65,0.38396436782204546,102,6466,50,56,74,45,43,55,43,53,61,75,26,48,43,65,63,55,53,40,40,55,32,53,39,68,40,28
13,8621,68,0.332578942247892,102,6534,54,52,70,34,54,62,37,41,46,70,25,44,39,68,53,54,57,42,41,50,36,59,43,71,45,38
13,8691,67,0.3095670273060023,102,6601,52,55,70,40,59,57,44,51,53,61,29,53,35,67,57,54,55,46,33,56,39,59,48,64,44,30
16,8758,60,0.46106906774730305,102,6661,55,63,55,46,56,55,37,43,42,50,23,42,37,67,67,61,60,50,36,52,40,53,46,62,50,39
13,8838,80,0.2415233408946733,102,6741,58,47,67,40,51,51,41,51,62,65,28,48,50,80,53,55,45,44,29,43,47,52,45,62,41,36
13,8913,73,0.4271246691005217,102,6814,60,50,62,41,50,75,40,47,51,67,25,48,41,73,63,55,57,44,26,39,45,62,49,58,48,41
13,8982,69,0.38238539485155343,102,6883,48,38,60,48,61,65,26,48,57,61,28,55,38,69,58,50,56,42,27,39,43,58,48,52,46,38
13,9046,63,0.49921595383511885,102,6946,52,40,57,52,56,64,32,42,56,62,29,53,39,63,59,45,48,50,35,36,39,57,50,59,44,33
13,9119,73,0.10671476336574415,102,7019,53,50,68,56,41,62,39,47,68,56,22,43,44,73,69,49,48,45,22,34,40,52,50,65,49,36
13,9189,70,0.3592089902249427,102,7089,48,50,60,56,50,64,40,48,63,61,33,38,44,70,54,45,48,47,32,38,43,48,51,62,63,30
13,9269,80,0.18579077936101385,102,7169,49,52,63,60,56,71,45,56,58,64,27,43,43,80,47,41,54,50,28,41,45,48,55,67,61,39
18,9344,29,0.06169899283668201,102,7198,40,41,56,49,52,75,29,54,56,64,27,35,38,66,58,54,64,50,29,49,45,54,60,70,61,33
13,9422,62,0.27760994567324815,102,7260,46,42,59,53,40,78,39,48,59,65,22,39,47,62,65,55,57,53,35,55,46,58,47,73,60,32
13,9500,59,0.22335907138221955,102,7319,46,43,57,50,61,76,36,52,60,67,28,31,39,59,60,52,63,56,25,53,44,52,53,78,63,31
13,9586,68,0.24663404181228543,102,7387,48,42,64,66,42,86,40,52,67,63,27,40,38,68,68,57,63,50,31,54,48,59,51,62,58,28
13,9663,63,0.3002000757805945,102,7450,46,51,56,59,45,77,32,47,66,59,41,31,41,63,66,42,65,57,31,63,46,62,52,61,64,36
13,9744,75,0.3851721189339514,102,7525,37,56,54,55,44,81,38,47,58,52,34,30,47,75,74,41,67,57,40,57,50,52,54,58,67,39
13,9823,65,0.2963515291776275,102,7590,43,54,58,58,43,79,39,50,72,51,29,34,47,65,73,49,61,44,32,55,32,61,54,61,64,32
13,9902,68,0.4260487657520571,102,7658,48,60,50,61,51,79,32,62,64,55,29,35,59,68,71,40,54,52,40,53,40,56,60,51,69,35
13,9989,67,0.1341871009362876,102,7725,46,56,62,52,48,87,34,57,66,61,25,38,56,67,83,36,61,65,47,48,44,64,60,46,70,26
13,10066,72,0.16264573658099835,102,7797,52,50,54,48,55,75,28,59,67,53,32,33,48,72,77,46,56,58,38,45,47,54,63,43,67,31
23,10149,48,0.12408602618506848,102,7845,54,48,55,52,53,83,35,56,69,57,42,33,53,72,71,46,73,55,42,49,43,65,56,48,65,32
13,10232,57,0.4605346362795899,102,7902,44,52,60,60,47,83,37,48,69,60,42,43,59,57,73,47,55,61,48,47,44,68,58,48,63,28
13,10310,69,0.31696202272451046,102,7971,44,48,47,59,51,78,29,54,67,60,32,39,51,69,76,56,70,64,37,41,43,63,65,45,67,27
13,10391,63,0.4101438292691455,102,8034,41,48,49,56,51,81,43,55,73,65,33,45,58,63,69,57,67,65,51,54,40,63,68,35,58,32
20,10475,39,0.4975704169464734,102,8073,44,49,50,59,54,84,36,42,68,56,28,50,54,66,78,53,69,50,50,40,39,58,66,46,63,41
13,10559,62,0.15392842330493295,102,8135,47,44,39,50,59,84,33,51,67,54,38,34,55,62,72,54,64,56,45,36,45,63,56,44,63,38
13,10636,54,0.28739612188383035,102,8189,59,49,40,53,48,72,28,63,69,63,27,36,61,54,77,56,69,60,50,38,39,60,69,39,64,38
11,10720,47,0.23880510084472917,102,8236,47,45,42,51,50,84,38,63,68,56,43,47,45,59,76,56,67,53,49,45,43,49,60,41,59,31
13,10801,65,0.30038440663429355,102,8301,44,38,56,55,50,81,33,54,71,61,40,36,60,65,74,61,69,50,39,41,41,53,67,43,60,41
13,10882,53,0.3081525440220503,102,8354,45,51,48,48,54,81,38,63,60,52,47,33,54,53,74,56,66,61,42,41,35,44,68,49,58,46
13,10955,58,0.32616256445180625,102,8412,49,50,56,39,60,73,50,55,65,63,47,26,60,58,66,50,58,47,41,40,28,34,69,52,54,44
13,11032,57,0.3867952545051594,102,8469,38,50,49,44,37,77,47,54,68,61,37,33,62,57,71,51,56,50,45,40,35,39,61,46,54,46
13,11112,68,0.46330215923171636,102,8537,42,54,44,40,49,80,45,43,71,62,47,32,55,68,64,52,61,53,35,35,31,43,65,40,60,45
7,11187,44,0.6635667508098777,102,8581,48,58,43,43,47,70,53,44,75,61,39,33,49,61,64,50,65,46,38,34,33,27,66,40,54,49
13,11265,56,0.3318384186459298,102,8637,48,53,41,47,51,71,49,49,77,68,43,27,49,56,69,44,78,47,41,28,33,27,53,44,56,51
13,11340,49,0.5649420637892035,102,8686,52,56,50,50,49,73,40,50,75,67,39,28,51,49,64,44,72,52,35,35,37,43,61,46,47,47
3,11421,58,0.05000742443735362,102,8744,50,46,47,58,45,67,38,50,81,63,46,30,59,49,58,37,62,42,38,35,35,29,58,48,50,47
3,11497,57,0.17034795008748915,102,8801,61,56,52,57,40,65,40,47,76,65,40,33,58,55,63,54,72,45,45,33,38,31,70,47,47,44
13,11575,57,0.3108515829417229,102,8858,55,57,47,50,51,78,45,44,78,63,37,40,49,57,66,49,64,38,53,41,39,27,51,48,51,49
12,11653,52,0.38470041116033826,102,8910,53,61,52,60,50,77,44,49,78,61,46,40,52,45,62,44,64,32,43,38,32,25,55,44,54,55
13,11741,51,0.23124113547874003,102,8961,49,56,54,58,60,69,39,52,88,66,48,27,47,51,62,45,70,35,59,36,31,20,64,46,51,55
13,11822,49,0.5616413894449579,102,9010,60,55,50,62,54,70,38,55,81,72,39,34,48,49,65,45,67,54,49,28,40,26,63,54,57,45
8,11900,78,0.04044206122853211,102,9088,52,62,61,62,52,72,42,48,78,57,46,34,42,47,67,47,61,46,49,37,31,21,70,45,64,54
8,11975,75,0.5687854900897946,102,9163,59,70,54,75,46,71,30,55,75,60,42,32,48,46,72,45,67,36,54,42,41,15,68,50,54,50
8,12058,83,0.2950343316215367,102,9246,58,52,51,59,56,72,38,56,83,55,44,40,44,36,65,47,68,46,52,39,41,18,62,39,56,47
8,12137,79,0.27889066108218685,102,9325,64,62,50,69,51,76,39,56,79,61,30,34,51,37,62,39,66,42,49,52,44,19,66,35,54,54
8,12222,75,0.18415484303659468,102,9400,68,52,60,68,53,85,36,52,75,65,41,48,43,41,68,40,73,36,47,55,43,32,77,35,54,49
8,12304,82,0.09296803395773168,102,9482,58,54,54,67,57,72,42,39,82,52,43,51,57,46,55,47,64,27,51,49,45,29,63,33,50,55
8,12389,85,0.0052220674751879415,102,9567,76,61,68,67,52,74,46,48,85,60,30,45,59,48,60,42,76,38,57,54,44,18,59,37,53,54
8,12472,83,0.10833853897293011,102,9650,66,49,54,64,55,77,45,48,83,54,39,42,73,44,60,50,80,41,53,47,43,8,71,36,56,52
8,12564,92,0.07651138499022636,102,9742,68,65,52,67,50,80,45,44,92,57,28,41,72,53,67,49,77,44,58,50,53,4,53,32,48,56
8,12651,87,0.14778406152527168,102,9829,67,56,59,66,50,76,47,49,87,59,28,46,70,50,73,43,67,35,58,54,48,11,55,37,50,56
8,12739,88,0.39613852463662624,102,9917,59,56,66,59,54,81,42,44,88,61,20,46,65,44,62,50,75,49,49,53,50,6,64,43,50,45
8,12825,83,0.15781217198127706,102,10000,54,62,64,62,54,86,44,40,83,61,17,54,69,39,66,47,74,47,53,55,48,20,65,41,47,47
8,12905,80,0.26327822182156524,102,10080,59,56,59,68,54,80,40,37,80,53,21,52,71,44,73,44,68,45,56,50,44,22,66,33,44,46
8,12996,91,0.315505296952324,102,10171,55,62,59,57,54,81,38,35,91,57,25,67,73,48,67,50,69,45,57,51,45,20,55,44,50,48
8,13086,90,0.4024256148204586,102,10261,61,67,60,62,44,78,49,57,90,49,14,51,78,41,67,49,70,41,62,51,56,12,58,41,38,50
8,13175,89,1.1050641061738133,102,10350,69,63,60,59,44,77,42,51,89,57,18,57,75,46,63,53,73,54,49,45,59,14,49,28,37,45
8,13268,93,0.3685785019024479,102,10443,63,57,61,51,51,75,46,48,93,46,20,55,75,49,67,39,81,52,51,42,61,16,53,27,36,38
8,13354,86,0.26213447447753424,102,10529,53,55,67,53,39,77,44,48,86,53,17,60,78,47,69,51,80,53,62,57,49,25,46,23,32,47
8,13442,88,0.3877930732560344,102,10617,63,54,65,58,47,86,41,54,88,58,14,58,76,41,69,57,72,45,50,51,54,30,48,27,27,44
8,13531,89,0.008602106492617168,102,10706,57,53,68,58,44,78,35,45,89,54,13,60,68,44,72,45,72,54,54,50,55,29,47,23,38,35
8,13616,83,2.7414689376910246,102,10789,61,57,59,61,46,85,37,42,83,55,12,58,67,43,72,44,82,59,51,50,58,29,46,35,41,49
